year,material,region,value
1911,tin,RoW,61619.74422
1912,tin,China,5169.656463
1912,tin,EU27,22673.93186
1912,tin,RoW,62852.13911
1913,tin,China,5273.049593
1913,tin,EU27,23127.41049
1913,tin,RoW,64109.18189
1914,tin,China,5378.510585
1914,tin,EU27,23589.9587
1914,tin,RoW,65391.36553
1915,tin,China,5486.080796
1915,tin,EU27,24061.75788
1915,tin,RoW,66699.19284
1916,tin,China,5595.802412
1916,tin,EU27,24542.99304
1916,tin,RoW,68033.1767
1917,tin,China,5707.71846
1917,tin,EU27,25033.8529
1917,tin,RoW,69393.84023
1918,tin,China,5821.87283
1918,tin,EU27,25534.52995
1918,tin,RoW,70781.71703
1919,tin,China,5938.310286
1919,tin,EU27,26045.22055
1919,tin,RoW,72197.35137
1920,tin,China,6057.076492
1920,tin,EU27,26566.12496
1920,tin,RoW,73641.2984
1921,tin,China,6178.218022
1921,tin,EU27,27097.44746
1921,tin,RoW,75114.12437
1922,tin,China,6301.782382
1922,tin,EU27,27639.39641
1922,tin,RoW,76616.40686
1923,tin,China,6427.81803
1923,tin,EU27,28192.18434
1923,tin,RoW,78148.73499
1924,tin,China,6556.37439
1924,tin,EU27,28756.02803
1924,tin,RoW,79711.70969
1925,tin,China,6687.501878
1925,tin,EU27,29331.14859
1925,tin,RoW,81305.94389
1926,tin,China,6821.251916
1926,tin,EU27,29917.77156
1926,tin,RoW,82932.06277
1927,tin,China,6957.676954
1927,tin,EU27,30516.12699
1927,tin,RoW,84590.70402
